"2026-04-01 12:22:30,784 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:Starting PetStoreApplication using Java 25.0.2 with PID 21488 (C:\Users\avsar\Desktop\Java Projelerim\com.avsarzirh\PetStoreApplication\target\classes started by avsar in C:\Users\avsar\Desktop\Java Projelerim\com.avsarzirh\PetStoreApplication)
""2026-04-01 12:22:30,787 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:No active profile set, falling back to 1 default profile: "default"
""2026-04-01 12:22:31,706 INFO  - [main] org.apache.catalina.core.StandardService:Starting service [Tomcat]
""2026-04-01 12:22:31,706 INFO  - [main] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/10.1.52]
""2026-04-01 12:22:31,738 INFO  - [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
""2026-04-01 12:22:32,164 INFO  - [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
""2026-04-01 12:22:32,286 INFO  - [main] com.zaxxer.hikari.pool.HikariPool:HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6f8ac8d5
""2026-04-01 12:22:32,287 INFO  - [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
""2026-04-01 12:22:33,353 WARN  - [main] org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer:Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
""2026-04-01 12:22:33,404 WARN  - [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2026-04-01 12:22:33,779 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:Started PetStoreApplication in 3.332 seconds (process running for 3.788)
""2026-04-01 12:22:37,974 INFO  - [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring DispatcherServlet 'dispatcherServlet'
""2026-04-01 14:33:30,769 INFO  - [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
""2026-04-01 14:33:30,784 INFO  - [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
""2026-04-01 14:38:43,149 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:Starting PetStoreApplication using Java 25.0.2 with PID 15620 (C:\Users\avsar\Desktop\Java Projelerim\com.avsarzirh\PetStoreApplication\target\classes started by avsar in C:\Users\avsar\Desktop\Java Projelerim\com.avsarzirh\PetStoreApplication)
""2026-04-01 14:38:43,150 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:No active profile set, falling back to 1 default profile: "default"
""2026-04-01 14:38:43,938 INFO  - [main] org.apache.catalina.core.StandardService:Starting service [Tomcat]
""2026-04-01 14:38:43,938 INFO  - [main] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/10.1.52]
""2026-04-01 14:38:43,973 INFO  - [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
""2026-04-01 14:38:44,346 INFO  - [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
""2026-04-01 14:38:44,443 INFO  - [main] com.zaxxer.hikari.pool.HikariPool:HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7b3c2ae0
""2026-04-01 14:38:44,444 INFO  - [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
""2026-04-01 14:38:45,466 WARN  - [main] org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer:Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
""2026-04-01 14:38:45,808 WARN  - [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2026-04-01 14:38:46,185 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:Started PetStoreApplication in 3.297 seconds (process running for 3.642)
""2026-04-01 14:39:22,216 INFO  - [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring DispatcherServlet 'dispatcherServlet'
""2026-04-01 14:51:43,045 INFO  - [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
""2026-04-01 14:51:43,047 INFO  - [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
""2026-04-01 14:51:56,865 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:Starting PetStoreApplication using Java 25.0.2 with PID 26440 (C:\Users\avsar\Desktop\Java Projelerim\com.avsarzirh\PetStoreApplication\target\classes started by avsar in C:\Users\avsar\Desktop\Java Projelerim\com.avsarzirh\PetStoreApplication)
""2026-04-01 14:51:56,867 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:No active profile set, falling back to 1 default profile: "default"
""2026-04-01 14:51:57,655 INFO  - [main] org.apache.catalina.core.StandardService:Starting service [Tomcat]
""2026-04-01 14:51:57,655 INFO  - [main] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/10.1.52]
""2026-04-01 14:51:57,696 INFO  - [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
""2026-04-01 14:51:58,051 INFO  - [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
""2026-04-01 14:51:58,143 INFO  - [main] com.zaxxer.hikari.pool.HikariPool:HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6630dd28
""2026-04-01 14:51:58,145 INFO  - [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
""2026-04-01 14:51:59,075 WARN  - [main] org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer:Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
""2026-04-01 14:51:59,385 WARN  - [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2026-04-01 14:51:59,758 INFO  - [main] com.avsarzirh.PetStoreApplication.PetStoreApplication:Started PetStoreApplication in 3.135 seconds (process running for 3.494)
""2026-04-01 14:52:47,793 INFO  - [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring DispatcherServlet 'dispatcherServlet'
""2026-04-01 14:52:48,451 INFO  - [http-nio-8080-exec-10] org.springdoc.api.AbstractOpenApiResource:Init duration for springdoc-openapi is: 245 ms
""2026-04-01 16:49:16,457 INFO  - [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
""2026-04-01 16:49:16,467 INFO  - [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
"
